Team,Team Contry,Line Posisition,Status,Player,Country
Royal Cybersports Club,Russia,Exp ,Main,Castle,Russia
Royal Cybersports Club,Russia,Jungler,Main,Oneshot,Russia
Royal Cybersports Club,Russia,Middle,Main,Troublemaker,Russia
Royal Cybersports Club,Russia,Gold Lane,Main,Wizer,Russia
Royal Cybersports Club,Russia,Roamer,Main,Kupie,Russia
Royal Cybersports Club,Russia,Exp ,Substitute, Solist,Russia
Team Lilgun,Mongolia,Exp ,Main,Aizn,Mongolia
Team Lilgun,Mongolia,Jungler,Main,Zxaura,Mongolia
Team Lilgun,Mongolia,Middle,Main,Forbid,Mongolia
Team Lilgun,Mongolia,Gold Lane,Main,Bebex,Mongolia
Team Lilgun,Mongolia,Roamer,Main,Ethan,Mongolia
Team Lilgun,Mongolia,Roamer,Substitute,Shen,Mongolia
Deus Vult,Russia,Exp ,Main,Kid Bomba,Russia
Deus Vult,Russia,Jungler,Main,Magistor,Russia
Deus Vult,Russia,Middle,Main,Sunset Lover,Russia
Deus Vult,Russia,Gold Lane,Main,Hiko,Russia
Deus Vult,Russia,Roamer,Main,SAWO,Russia
Deus Vult,Russia,Gold Lane,Substitute / Analyst,Lil,Russia
RRQ Hoshi,Indonesia,Exp ,Main,Banana,Indonesia
RRQ Hoshi,Indonesia,Jungler,Main,Irrad,Philippines
RRQ Hoshi,Indonesia,Middle,Main,Clay,Indonesia
RRQ Hoshi,Indonesia,Gold Lane,Main,Skylar,Indonesia
RRQ Hoshi,Indonesia,Roamer,Main,Brusko,Philippines
RRQ Hoshi,Indonesia,Middle,Substitute,Octa,Indonesia
RRQ Hoshi,Indonesia,Coach,Coach, Zaya,Myanmar
RRQ Hoshi,Indonesia,Coach,Coach,Vren,Philippines
KeepBest Gaming,China,Exp ,Main,Siyu,China
KeepBest Gaming,China,Jungler,Main,Zxuan,Singapore
KeepBest Gaming,China,Middle,Main,LMU,China
KeepBest Gaming,China,Gold Lane,Main,Rainbow,China
KeepBest Gaming,China,Roamer,Main,Tides,China
KeepBest Gaming,China,Roamer,Substitute,Superpaddi,China
KeepBest Gaming,China,Coach,Coach,Webby,China
KeepBest Gaming,China,Analisis,Analisis, Spirit,China
ONIC,Indonesia,Exp ,Main,Butsss,Indonesia
ONIC,Indonesia,Jungler,Main,Kairi,Philippines
ONIC,Indonesia,Middle,Main,Sanz,Indonesia
ONIC,Indonesia,Gold Lane,Main,CW,Indonesia
ONIC,Indonesia,Roamer,Main,Kiboy,Indonesia
ONIC,Indonesia,Roamer,Substitute,Alberttt,Indonesia
ONIC,Indonesia,Coach,Coach,Yeb,Philippines
ONIC,Indonesia,Analisis,Analisis,Adi,Indonesia
 AP.Bren ,Philippines,Exp ,Main,FlapTzy,Philippines
 AP.Bren ,Philippines,Jungler,Main,KyleTzy,Philippines
 AP.Bren ,Philippines,Middle,Main,Pheww,Philippines
 AP.Bren ,Philippines,Gold Lane,Main,Super Marco,Philippines
 AP.Bren ,Philippines,Roamer,Main,Owgwen,Philippines
 AP.Bren ,Philippines,Exp ,Substitute,Pandora,Philippines
Team Flash,Singapore,Exp ,Main,Diablo,Singapore
Team Flash,Singapore,Jungler,Main,Hadess,Philippines
Team Flash,Singapore,Middle,Main,KurtTzy,Philippines
Team Flash,Singapore,Gold Lane,Main,Vanix,Singapore
Team Flash,Singapore,Roamer,Main,JPL,Singapore
Team Flash,Singapore,Exp ,Substitute, Adammir,Singapore
Blacklist Intl.,Philippines,Exp ,Main,Edward,Philippines
Blacklist Intl.,Philippines,Jungler,Main,Sensui,Philippines
Blacklist Intl.,Philippines,Middle,Main,Yue,Philippines
Blacklist Intl.,Philippines,Gold Lane,Main,Oheb,Philippines
Blacklist Intl.,Philippines,Roamer,Main,Hadji,Philippines
Blacklist Intl.,Philippines,All Lane,Substitute,Calad,Philippines
Blacklist Intl.,Philippines,Coach,Coach,Dex Star,Philippines
Blacklist Intl.,Philippines,Coach,Coach,Master the Basics,Philippines
HomeBois,Malaysia,Exp ,Main,Sepat,Malaysia
HomeBois,Malaysia,Jungler,Main,Chibi,Malaysia
HomeBois,Malaysia,Middle,Main,Udil,Indonesia
HomeBois,Malaysia,Gold Lane,Main,Nets,Philippines
HomeBois,Malaysia,Roamer,Main,Xorn,Malaysia
HomeBois,Malaysia,Head Coach,Head Coach,Jeff,Philippines
HomeBois,Malaysia,Assistan Coach,Assistan Coach,Pabz,Malaysia
Twisted Minds,Saudi Arabia,Exp ,Main,Mike Sama,Philippines
Twisted Minds,Saudi Arabia,Jungler,Main,Lio,Egypt
Twisted Minds,Saudi Arabia,Middle,Main,Cuffin,Saudi Arabia
Twisted Minds,Saudi Arabia,Gold Lane,Main,Saano,Saudi Arabia
Twisted Minds,Saudi Arabia,Roamer,Main,Maro,Egypt
Twisted Minds,Saudi Arabia,Jungler,Substitute,7oda,Egypt
Twisted Minds,Saudi Arabia,Coach,Coach,Lyrick,Philippines
 Burmese Ghouls,Myanmar,Exp ,Main,Dlar,Philippines
 Burmese Ghouls,Myanmar,Jungler,Main,Saxa,Philippines
 Burmese Ghouls,Myanmar,Middle,Main,Niko,Myanmar
 Burmese Ghouls,Myanmar,Gold Lane,Main,Stitch,Myanmar
 Burmese Ghouls,Myanmar,Roamer,Main,Blink,Myanmar
 Burmese Ghouls,Myanmar,Head Coach,Head Coach,Dale,Philippines
 Burmese Ghouls,Myanmar,Assistan Coach,Assistan Coach,LynnXDaddy,Mongolia
Niightmare Esports,Laos,Exp ,Main,Jvckkk,Laos
Niightmare Esports,Laos,Jungler,Main,2Ez4Lexxy,Laos
Niightmare Esports,Laos,Middle,Main,Sosoul,Laos
Niightmare Esports,Laos,Gold Lane,Main,Khammy,Laos
Niightmare Esports,Laos,Roamer,Main,J4ZBIN,Laos
Niightmare Esports,Laos,All Lane,Substitute,Phor,Laos
Niightmare Esports,Laos,Coach,Coach,Alain,Laos
Niightmare Esports,Laos,Coach,Coach, Wawa,Thailand
Fire Flux Esports,Turkey,Exp ,Main,Alien,Turkey
Fire Flux Esports,Turkey,Jungler,Main,Tienzy,Turkey
Fire Flux Esports,Turkey,Middle,Main,Rosa,Turkey
Fire Flux Esports,Turkey,Gold Lane,Main,Sunshine,Turkey
Fire Flux Esports,Turkey,Roamer,Main,APEX47,Turkey
Fire Flux Esports,Turkey,Coach,Coach,Badgalseph,Turkey
S2G Esports,Turkey,Exp ,Main,Lunar,Turkey
S2G Esports,Turkey,Jungler,Main,Kazue,Turkey
S2G Esports,Turkey,Middle,Main,BEGIN,Turkey
S2G Esports,Turkey,Gold Lane,Main,SIGIBUM,Turkey
S2G Esports,Turkey,Roamer,Main,Qaro,Turkey
S2G Esports,Turkey,Coach,Coach,demigod,Turkey
BURN x FLASH,Cambodia,Exp ,Main,ATM,Cambodia
BURN x FLASH,Cambodia,Jungler,Main,Rindo,Philippines
BURN x FLASH,Cambodia,Middle,Main,KielVJ,Philippines
BURN x FLASH,Cambodia,Gold Lane,Main,Owl,Philippines
BURN x FLASH,Cambodia,Roamer,Main,Mikko,Philippines
BURN x FLASH,Cambodia,Middle,Substitute,C Cat,Cambodia
BURN x FLASH,Cambodia,Coach,Coach, Skyzy,Cambodia